,count,organism_name
9604,6430,hominidae
541000,6304,ruminococcaceae
815,4517,bacteroidaceae
186806,2590,eubacteriaceae
186803,2242,lachnospiraceae
31953,593,bifidobacteriaceae
84107,565,coriobacteriaceae
31979,415,clostridiaceae
31977,246,veillonellaceae
171550,81,rikenellaceae
128827,54,erysipelotrichaceae
1300,43,streptococcaceae
33958,32,lactobacillaceae
171552,28,prevotellaceae
4893,18,saccharomycetaceae
186823,13,alicyclobacillaceae
675071,12,virgaviridae
89373,11,cytophagaceae
171551,10,porphyromonadaceae
203492,9,fusobacteriaceae
135621,8,pseudomonadaceae
2062,7,streptomycetaceae
69277,6,phyllobacteriaceae
1570339,6,peptoniphilaceae
995019,6,sutterellaceae
194924,5,desulfovibrionaceae
186804,5,peptostreptococcaceae
137,5,spirochaetaceae
126,5,planctomycetaceae
83763,5,succinivibrionaceae
543,5,enterobacteriaceae
186817,5,bacillaceae
481,4,neisseriaceae
83676,4,nocardiopsaceae
81852,4,enterococcaceae
72294,4,campylobacteraceae
580372,4,mariprofundaceae
49546,4,flavobacteriaceae
31957,4,propionibacteriaceae
41294,4,bradyrhizobiaceae
186822,4,paenibacillaceae
204434,3,acidobacteriaceae
181550,3,trichomonadidae
2092,3,mycoplasmataceae
267894,3,psychromonadaceae
10501,3,phycodnaviridae
84566,3,sphingobacteriaceae
191394,3,deferribacteraceae
5020,3,phaeosphaeriaceae
452340,2,gloeophyllaceae
145357,2,dermacoccaceae
146292,2,verrucariaceae
213421,2,desulfuromonadaceae
766764,2,debaryomycetaceae
291294,2,tetrahymenidae
186807,2,peptococcaceae
563798,2,cyclobacteriaceae
49,2,polyangiaceae
119045,2,methylobacteriaceae
43219,2,herpotrichiellaceae
712,2,pasteurellaceae
2146,2,acholeplasmataceae
5351,2,tricholomataceae
34384,2,arthrodermataceae
117942,2,desulfurellaceae
28556,2,pleosporaceae
41297,2,sphingomonadaceae
45404,2,beijerinckiaceae
64898,2,aquificaceae
2236,2,halobacteriaceae
110618,2,nectriaceae
5654,2,trypanosomatidae
2049,1,actinomycetaceae
1217,1,prochlorococcaceae
316606,1,segniliparaceae
543314,1,clostridiales family xiii. incertae sedis
649777,1,synergistaceae
972,1,halanaerobiaceae
563835,1,chitinophagaceae
641,1,vibrionaceae
468,1,moraxellaceae
433,1,acetobacteraceae
1198451,1,methanoregulaceae
1202464,1,dehalococcoidaceae
1240483,1,orbaceae
2070,1,pseudonocardiaceae
206379,1,nitrosomonadaceae
267893,1,idiomarinaceae
32011,1,methylophilaceae
85026,1,gordoniaceae
80864,1,comamonadaceae
76892,1,caulobacteraceae
186814,1,thermoanaerobacteraceae
186820,1,listeriaceae
33184,1,onygenaceae
186827,1,aerococcaceae
267888,1,pseudoalteromonadaceae
188709,1,thermotogaceae
188786,1,thermaceae
196137,1,methanospirillaceae
5332,1,schizophyllaceae
213119,1,desulfobacteraceae
216572,1,oscillospiraceae
92712,1,simkaniaceae
